"fecha datos","cups","tarifa","fecha alta contrato","fecha fin ctto","fecha modificacion contrato","codigo comer","potencia contratada","nombre","pot P1","pot P2","pot P3","pot P4","pot P5","pot P6","tipo de punto","cod tipo de suministro","Tipo de suministro","sistema origen"
"2025-04-05","ES0390000008090947AV1P","X6E","2025-03-27",,,"0499","60000",,"41.900","43.810","43.810","43.810","43.810","60.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0390000008090947AV1P","X6E","2023-04-02","2025-03-27",,"0522","60000",,"41.900","43.810","43.810","43.810","43.810","60.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000009140046YV1P","A",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000009140046YV1P","X6E","2025-04-04",,,"0964","1500000",,"1500.000","1500.000","1500.000","1500.000","1500.000","1500.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000009140011MM1P","A",,,,,"0",,,,,,,,"1",,"sin tipo sum",
"2025-03-29","ES0022000009139989GY1P","A",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000009139989GY1P","X6E","2025-04-03",,,"0927","300000"," AYTO.MADRID ","300.000","300.000","300.000","300.000","300.000","300.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000009139922RP1P","A",,,,,"0",,,,,,,,"1",,"sin tipo sum",
"2025-04-05","ES0022000009139922RP1P","X6H","2025-03-26",,,"0417","220000",,"220.000","220.000","220.000","220.000","220.000","220.000","3","98","GENERADOR RED TRANSP","SGC"
"2025-04-05","ES0022000009139796HC1P","X6E","2024-08-23",,"2025-03-29","0099","1250000",,"750.000","750.000","750.000","750.000","750.000","1250.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000009139796HC1P","X6E","2024-08-23",,"2025-03-29","0099","600000",,"750.000","750.000","750.000","750.000","750.000","1250.000","2",,,"SGC"
"2025-03-29","ES0022000009139486MD1P","X6E","2024-08-14","2025-04-01",,"0417","180000"," BRIGAL, S.A. ","180.000","180.000","180.000","180.000","180.000","180.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000009139486MD1P","X6E","2024-08-14","2025-04-01",,"0417","180000"," BRIGAL, S.A. ","180.000","180.000","180.000","180.000","180.000","180.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000009139316KT1P","X6E","2025-03-28",,,"0927","600000",,"300.000","300.000","300.000","300.000","300.000","600.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000009139316KT1P","X6E","2023-08-24","2025-03-28",,"0389","600000",,"300.000","300.000","300.000","300.000","300.000","600.000","2","11","NORMAL              ","SGC"
"2025-04-05","ES0022000009138844TB1P","X6E","2024-10-15",,"2025-03-27","0389","208000",,"208.000","208.000","208.000","208.000","208.000","208.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000009138753LN1P","X6E","2025-03-27",,,"0389","76000",,"76.000","76.000","76.000","76.000","76.000","76.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000009138753LN1P","A",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000009138640ZZ1P","X6E","2025-03-28",,,"0522","90000",,"90.000","90.000","90.000","90.000","90.000","90.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000009138640ZZ1P","X6E","2024-03-26","2025-03-28",,"0091","90000",,"90.000","90.000","90.000","90.000","90.000","90.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000009138049BK1P","X6F","2019-01-24",,"2021-05-31","0099","50000"," NATURGY RENOVABLES,S.L.U. ","50.000","50.000","50.000","50.000","50.000","50.000","1","99","FOTOVOL.CON.CONTRATO","SGC"
"2025-04-05","ES0022000009138049BK1P","X6F","2019-01-24",,"2021-05-31","0099","50000"," NATURGY RENOVABLES,S.L.U. ","50.000","50.000","50.000","50.000","50.000","50.000","1","99","FOTOVOL.CON.CONTRATO","SGC"
"2025-04-05","ES0022000009099508SM1P","X6E","2023-08-31",,"2025-03-11","1232","80000"," IES MARÍA RODRIGO ","50.000","50.000","50.000","50.000","50.000","80.000","3","23","CLAUT NEX IND INT A ","SGC"
"2025-03-29","ES0022000009099508SM1P","X6E","2023-08-31",,"2025-03-11","1232","88000"," IES MARÍA RODRIGO ","50.000","50.000","50.000","50.000","50.000","80.000","3",,,"SGC"
"2025-04-05","ES0022000009063541SX1P","X6F","2014-11-14",,"2021-05-31","0099","100000"," NATURGY RENOVABLES,S.L.U. ","100.000","100.000","100.000","100.000","100.000","100.000","1","96","GENER. EOLICO       ","SGC"
"2025-03-29","ES0022000009063541SX1P","X6F","2014-11-14",,"2021-05-31","0099","100000"," NATURGY RENOVABLES,S.L.U. ","100.000","100.000","100.000","100.000","100.000","100.000","1","96","GENER. EOLICO       ","SGC"
"2025-04-05","ES0022000008855915GM1P","X6E","2025-04-02",,,"0091","451000"," PARKINGS AUTOMOVILES, S.A. ","300.000","300.000","300.000","300.000","300.000","451.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008855915GM1P","X6E","2024-12-07","2025-04-02",,"1472","451000"," PARKINGS AUTOMOVILES, S.A. ","300.000","300.000","300.000","300.000","300.000","451.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008827179LL1P","X6E","2025-01-20","2025-02-28",,"0389","320000",,"160.000","160.000","160.000","160.000","160.000","320.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008827179LL1P","X6E","2025-02-28",,,"1491","320000",,"160.000","160.000","160.000","160.000","160.000","320.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008799667LS1P","X6E","2024-05-27","2025-03-26",,"0688","95240"," OLAF Y RUBI S.L. ","80.410","95.240","95.240","95.240","95.240","95.240","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008799667LS1P","X6E","2025-03-26",,,"0927","95240",,"80.410","95.240","95.240","95.240","95.240","95.240","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008769476HT1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000008768918QV1P","X6E","2025-02-24",,,"0918","125000",,"81.000","81.000","81.000","81.000","81.000","125.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008768918QV1P","X6E","2022-10-31","2025-02-24",,"0522","125000"," POUSADA VILAVELLA S.L. ","81.000","81.000","81.000","81.000","81.000","125.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008733496VS1P","X6E","2025-03-26",,,"0985","75000"," FASHION EL PULPO SLU ","50.000","50.000","50.000","50.000","50.000","75.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008733496VS1P","X6E","2025-03-16","2025-03-26",,"0688","75000"," FASHION EL PULPO SLU ","50.000","50.000","50.000","50.000","50.000","75.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008691112ZC1P","X6E","2024-03-26","2025-03-27",,"0389","100000",,"83.000","83.000","83.000","83.000","83.000","100.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008691112ZC1P","X6E","2025-03-27",,,"0817","100000",,"83.000","83.000","83.000","83.000","83.000","100.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008530743BF1P","X6E","2025-03-04",,,"1628","146000",,"146.000","146.000","146.000","146.000","146.000","146.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008530743BF1P","X6E","2025-02-10","2025-03-04",,"0389","146000",,"146.000","146.000","146.000","146.000","146.000","146.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008416387FF1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000008416387FF1P","Y3D","2025-02-01",,,"0869","55000",,"1.000","1.000","1.000","52.000","52.000","55.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008294571TE1P","X6E","2023-12-31","2025-03-31",,"0099","451000",,"211.000","225.000","235.000","235.000","235.000","451.000","2","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008294571TE1P","X6E","2025-03-31",,,"0499","451000",,"211.000","225.000","235.000","235.000","235.000","451.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008213653RH1P","X6E","2023-10-05","2025-03-31",,"0091","218000",,"160.000","167.600","167.600","167.600","167.600","218.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008213653RH1P","X6E","2025-03-31",,,"1491","218000",,"160.000","167.600","167.600","167.600","167.600","218.000","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008157492KT1P","Y3D","2022-10-16","2025-03-26","2024-08-17","0410","80000",,"80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008157492KT1P","Y3D","2025-03-26",,,"0918","80000",,"80.000","80.000","80.000","80.000","80.000","80.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000008143599ZE1P","X6E","2025-03-28",,,"0091","443392",,"443.392","443.392","443.392","443.392","443.392","443.392","3","11","NORMAL              ","SGC"
"2025-03-29","ES0022000008143599ZE1P","X6E","2022-08-12","2025-03-28",,"0091","443392",,"443.392","443.392","443.392","443.392","443.392","443.392","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007980119ZA1P","X6E","2025-03-27",,,"1183","750000"," TELSON SERVICIOS AUDIOVISUALES, S.L.U","415.000","415.000","415.000","415.000","415.000","750.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007980119ZA1P","X6E","2024-07-09","2025-03-27",,"1729","750000"," TELSON SERVICIOS AUDIOVISUALES, S.L.U","415.000","415.000","415.000","415.000","415.000","750.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007934509DW1P","X6E","2024-08-22","2025-03-28",,"0417","129000"," BRIGAL, S.A. ","129.000","129.000","129.000","129.000","129.000","129.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007934509DW1P","X6E","2025-03-28",,,"1446","129000"," BRIGAL, S.A. ","129.000","129.000","129.000","129.000","129.000","129.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007875756FZ1P","X6E","2025-03-27",,,"1183","470000"," TELSON SERVICIOS AUDIOVISUALES, S.L.U","266.000","280.000","280.000","280.000","280.000","470.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007875756FZ1P","X6E","2024-07-09","2025-03-27",,"1729","470000"," TELSON SERVICIOS AUDIOVISUALES, S.L.U","266.000","280.000","280.000","280.000","280.000","470.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007789323KS1P","B",,,,,"0",,,,,,,,"0",,"sin tipo sum",
"2025-04-05","ES0022000007789323KS1P","Y3D","2025-02-01",,,"1024","95000",,"60.000","60.000","60.000","60.000","60.000","95.000","3","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007607405RG1P","X6E","2024-04-25",,"2025-03-26","0869","70000",,"70.000","70.000","70.000","70.000","70.000","70.000","3","23","CLAUT NEX IND INT A ","SGC"
"2025-04-05","ES0022000007595216TM1P","X61","2018-09-30","2018-09-30",,"0725","451000"," PIZARRAS PARAMO S.L. ","230.000","230.000","230.000","230.000","230.000","451.000","2","11","NORMAL              ","SGC"
"2025-03-29","ES0022000007595216TM1P","X61","2018-09-30","2018-09-30",,"0725","451000"," PIZARRAS PARAMO S.L. ","230.000","230.000","230.000","230.000","230.000","451.000","2","11","NORMAL              ","SGC"
"2025-04-05","ES0022000007580473AM1P","X6E","2025-03-27",,,"0417","451000"," COMPOSITES GUIMAR,S.L. ","450.000","450.000","450.000","450.000","450.000","451.000","2","11","NORMAL              ","SGC"
